original,web,action,bytes_before,bytes_after
RUS-AIR-003-b.jpg,RUS-AIR-003-b.jpg,copy,34673,34673
RUS-LAND-001-a.webp,RUS-LAND-001-a.webp,copy,63828,63828
RUS-LAND-001-b.webp,RUS-LAND-001-b.webp,copy,51016,51016
RUS-LAND-002-a.jpg,RUS-LAND-002-a.jpg,copy,159319,159319
RUS-LAND-002-b.jpg,RUS-LAND-002-b.jpg,copy,108220,108220
RUS-LAND-003-a.jpg,RUS-LAND-003-a.jpg,copy,55619,55619
RUS-LAND-003-b.webp,RUS-LAND-003-b.webp,copy,44952,44952
RUS-LAND-004-a.webp,RUS-LAND-004-a.webp,copy,12800,12800
RUS-LAND-004-b.jpg,RUS-LAND-004-b.jpg,copy,39600,39600
RUS-LAND-005-a.jpg,RUS-LAND-005-a.jpg,copy,45564,45564
RUS-LAND-005-b.jpg,RUS-LAND-005-b.jpg,copy,36273,36273
RUS-LAND-006-a.webp,RUS-LAND-006-a.webp,copy,43740,43740
RUS-SEA-001-a.jpg,RUS-SEA-001-a.jpg,copy,239559,239559
RUS-SEA-001-b.jpg,RUS-SEA-001-b.jpg,copy,47346,47346
RUS-SEA-002-a,RUS-SEA-002-a.avif,ext-fixed,25037,25037
RUS-SEA-002-b.webp,RUS-SEA-002-b.webp,copy,57444,57444
RUS-SEA-003-a.jpg,RUS-SEA-003-a.jpg,converted,208807,159924
RUS-SEA-003-b.jpg,RUS-SEA-003-b.jpg,converted,327512,260750
SWE-AIR-001-a.jpg,SWE-AIR-001-a.jpg,copy,251057,251057
SWE-AIR-001-b,SWE-AIR-001-b.avif,ext-fixed,94742,94742
TUR-AIR-001-a.jpg,TUR-AIR-001-a.jpg,copy,192372,192372
TUR-AIR-001-b.webp,TUR-AIR-001-b.webp,copy,17332,17332
TUR-AIR-002-a.jpg,TUR-AIR-002-a.jpg,copy,7342,7342
TUR-AIR-002-b.jpg,TUR-AIR-002-b.jpg,copy,169252,169252
TUR-AIR-003-a.jpg,TUR-AIR-003-a.jpg,converted,1974097,337127
TUR-AIR-003-b.webp,TUR-AIR-003-b.webp,copy,49070,49070
TUR-LAND-001-a.jpg,TUR-LAND-001-a.jpg,kept-original,384654,384654
TUR-LAND-003-a,TUR-LAND-003-a.avif,ext-fixed,67733,67733
TUR-LAND-003-b.webp,TUR-LAND-003-b.webp,copy,86058,86058
UKR-AIR-001-a.webp,UKR-AIR-001-a.webp,copy,39120,39120
UKR-AIR-001-b.jpg,UKR-AIR-001-b.jpg,copy,127151,127151
UKR-AIR-002-a.jpg,UKR-AIR-002-a.jpg,converted,591205,102008
UKR-AIR-002-b.jpg,UKR-AIR-002-b.jpg,copy,54647,54647
UKR-AIR-003-a.jpg,UKR-AIR-003-a.jpg,kept-original,63434,63434
UKR-AIR-003-b.webp,UKR-AIR-003-b.webp,copy,141990,141990
UKR-AIR-004-a.png,UKR-AIR-004-a.jpg,converted,4242416,747711
UKR-AIR-004-b.jpg,UKR-AIR-004-b.jpg,kept-original,145602,145602
UKR-SEA-001-a.webp,UKR-SEA-001-a.webp,copy,40984,40984
UKR-SEA-001-b.webp,UKR-SEA-001-b.webp,copy,171150,171150
UKR-SEA-002-a.jpg,UKR-SEA-002-a.jpg,copy,36397,36397
UKR-SEA-002-b.jpg,UKR-SEA-002-b.jpg,copy,54173,54173
UKR-SEA-003-a.png,UKR-SEA-003-a.png,copy,189010,189010
UKR-SEA-003-b.jpg,UKR-SEA-003-b.jpg,copy,143711,143711
USA-AIR-001-a.webp,USA-AIR-001-a.webp,kept-original,235492,235492
USA-AIR-001-b.webp,USA-AIR-001-b.webp,copy,31956,31956
USA-AIR-002-a.webp,USA-AIR-002-a.jpg,converted,1289998,124421
USA-AIR-002-b.webp,USA-AIR-002-b.jpg,converted,2667444,626670
USA-AIR-003-a.jpg,USA-AIR-003-a.jpg,copy,7892,7892
USA-AIR-003-b,USA-AIR-003-b.avif,ext-fixed,23755,23755
USA-AIR-003-c.jpg,USA-AIR-003-c.jpg,copy,58560,58560
USA-AIR-004-a,USA-AIR-004-a.jpg,converted,276443,73028
USA-AIR-004-b,USA-AIR-004-b.jpg,converted,167781,272863
USA-AIR-005-a,USA-AIR-005-a.avif,ext-fixed,25960,25960
USA-AIR-005-b,USA-AIR-005-b.avif,ext-fixed,53671,53671
USA-AIR-006-a.jpg,USA-AIR-006-a.jpg,copy,22250,22250
USA-AIR-006-b.webp,USA-AIR-006-b.webp,copy,33950,33950
